CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;0.9249227113941173
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.0
INFLOW;SURFACE WATER;Main riverstem;0.1694209068099997
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;-0.09308756523625974
ERROR;ERROR;0;
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET RAIN;Natural;0.005355812307904115
OUTFLOW;ET RAIN;Urban;0.18633828316867065
OUTFLOW;ET RAIN;Agri;0.1481365783558602
OUTFLOW;ET INCREMENTAL;Natural;0.012042632112965908
OUTFLOW;ET INCREMENTAL;Urban;0.1123750023670878
OUTFLOW;ET INCREMENTAL;Agri;0.24862024528936671
OUTFLOW;ET INCREMENTAL;Manmade;0.2486203983504961
OUTFLOW;ET INCREMENTAL;Consumed Water;0.153061129366
OUTFLOW;SURFACE WATER;Surface wateroutflow;0.13532636999999992
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0.0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;OTHER;Treated Waste Water;0.13025620358499948
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
