Water Management Class,Land and water use,Area (km2),Area (km2),Area (%),P (mm),ET (mm),P-ET (mm)
Natural,Protected forests,6.14,3378.9,70,552.2,633.8,-81.6
,Protected shrubland,4.15,,,522.4,583.1,-60.7
,Protected other,26.38,,,416.8,394,22.8
,Open deciduous forest,26.93,,,412.3,452.6,-40.3
,Closed evergreen forest,0.62,,,583.6,727.3,-143.6
,Shrub land & mesquite,211.79,,,407.2,411.8,-4.6
,Meadows & open grassland,1290.45,,,284.9,174.3,110.6
,Fallow & idle land,1812.49,,,178.3,24.4,153.9
Agricultural,Rainfed crops ,208.9,1105,23,285.7,235.9,49.8
,Rainfed crops - other ,818.83,,,209.8,73,136.8
,Irrigated crops ,75.68,,,202.6,334,-131.4
,Managed water bodies,1.56,,,538.9,1045.7,-506.9
Urban,Urban paved Surface ,345.97,346,7,268.2,138,130.1
,,,,,,,
