Modified Class ,Land and water use ,Area  (km2) ,Area (%) ,P (mm) ,ET (mm) ,P-ET (mm) 
Natural ,Protected shrubland ,5.64 ,0.08 ,238 ,259 ,-21 
,Protected other ,500.4 ,7.26 ,190 ,133 ,57 
,Open deciduous forest ,8.91 ,0.13 ,249 ,304 ,-55 
,Shrub land & mesquite ,18.02 ,0.26 ,269 ,287 ,-18 
,Meadows & open grassland ,545.8 ,7.92 ,238 ,131 ,107 
,Fallow & idle land ,4427 ,64.2 ,157 ,27 ,130 
Agriculture ,Rainfed crops ,328.9 ,4.77 ,263 ,232 ,31 
,Rainfed crops - other  ,841.9 ,12.21 ,222 ,85 ,136 
,Irrigated crops  ,26.32 ,0.38 ,176 ,323 ,-147 
,"Managed water bodies (reservoirs, dams) ",116.6 ,1.69 ,104 ,1181 ,-1078 
,Greenhouses - indoor ,7.78 ,0.11 ,254 ,472 ,-218 
Urban ,"Urban paved Surface (lots, roads, lanes) ",68.07 ,0.99 ,242 ,127 ,115 
